Comment,Sentiment
very informative video on how to start coding and keep yourself motivated,Positive
Any in the  January 2025,Neutral
Yes 2025,Neutral
Thank-you mam ❤,Neutral
"Well explained, this made the topic much clearer!",Positive
Anyone in 2025 Jan,Neutral
Why I find this chanel so late.,Negative
2025,Neutral
I want to learn everything to become a hacker 😂😂😂😂,Neutral
Any one in 2025😢,Neutral
2025 wale attendance please 😅>>>>>>>,Neutral
Who is in 2025❤,Neutral
Small channels let's gather here,Negative
"Who seeing this January 07,2025😂",Neutral
Anyone in 2025 January ❤,Neutral
Worth watching 💕,Positive
anyone 2025 here,Neutral
"Anyone in 2k25, June",Neutral
Can a pcb student can learn this?,Neutral
Anyone please tell me jo non science background se hai vo bhi seekh skte hain ky coding?,Neutral
Regards from Pakistan,Neutral
Waiting for your kind response,Positive
One more thing i want to ask that which specifications should be of a computer for coding,Positive
Thank you so much for giving us opportunity to learn this kind of courses may you get all happiness and success in your life,Positive
I am in 8th and I really want learn about coding,Positive
Anyone in 2025 ??,Neutral
Anyone in 2025 5th January 😅,Neutral
I m in 2025,Neutral
Anyone in 2025❤,Neutral
Anyone in 2025 january,Neutral
Anyone in January 2025,Neutral
*Anyone in 2025* 👌🇮🇳,Neutral
any one in 2025 jan,Neutral
Didi I wanna contact with you,Neutral
2025 ke Dekh rah hai,Neutral
Anyone in January 2025,Neutral
2025 ...... from Bangladesh Didi❤❤❤,Neutral
Anyone from 2025 😅,Neutral
I am looking to shift to quant. Which language should I learn?,Neutral
I am here after 8th,Neutral
Legends are watching this in 2025😅,Neutral
Learning for fun,Positive
coding,Neutral
2025 attendance here 👇,Neutral
Anyone in 1st january 2025,Neutral
Anyone watched this video in 1/1/2025,Neutral
Any one can see 2025 in 1 january,Neutral
Anyone 01/01/2025,Neutral
Anyone in 1/1/2025,Neutral
"1JAN,2025",Neutral
"Jan1 2025 
Like if you want happy in 2025😊👍",Positive
Software developer skiks,Neutral
Coding diploma hota hay,Neutral
Mere pas koi idea nahi first time coding dekh raha plz tell me how to start,Negative
Anyone 31 Dec 25,Neutral
Anyone in 2025😊,Neutral
"Didi Aapki smile and explain krne ka tarika bilkul Prashant bhaiya jesa he 😮
Are vohi Exp-Prashant Kirad ka channel",Positive
Tech. Mai aane ke liye 12 ke baad kya kare,Neutral
Thanks didi,Positive
I am bsc student I am interested to coding,Positive
bina kisi degree ke codding  or programming sikh kr job kr skte hai online me plz reply,Neutral
Any one in 1 Jan 2025 😂😂😂😂,Neutral
I am a 9th grade student its my winter vacation so I thought i should learn something new,Positive
so now which software download for learning Coding please madam say me,Neutral
zero se sikhna hai,Neutral
"Anyone in 24 Dec 2024
Ready for Christmas",Positive
Anyone in 2025 jan...,Neutral
Kon kon december 2024 me dekh rha hai like kro,Neutral
Thank you didi,Neutral
i am just born kid and i started coding thanks for guiding,Positive
Who is here in 11th,Neutral
Assalam O alaikum,Neutral
mai bsc zoology Hons kiya hu likin mai coding sikhna chahatahu aur Google mai job karna chahata hu please mujhe roadmap bataye 🙏🙏🙏🙏🙏,Neutral
i m bsc studenr but i want to learn coding,Neutral
College student,Neutral
Anyone December 2024,Neutral
Anyone in 2024 December 😅,Neutral
Anyone in 2024 December,Neutral
Anyone 2025🎉😂😅,Neutral
2024,Neutral
Any one in december 2024,Neutral
Thank you ma'am 🙂🙂🙂,Neutral
Anyone In 2024 December,Neutral
Anyone in 2024 December,Neutral
Very nice,Positive
Anyone in 2024 December,Neutral
Anyone over here who don’t belong to anything of it??,Neutral
https://youtu.be/2O9pNX7tkp4?si=lGdmsfQdGZoJe9T2,Neutral
Anyone in December 2024?,Neutral
Tq didi,Neutral
12th ke board aa gaya syllabus start karne say phele ye dekh kar motivate ho raha hoo 😂😂,Neutral
"Sis.. I'm a bcom student..
Can i get a make a carrier in coding..??",Neutral
Mam hacker kaise bana,Neutral
Starting journey in coding🙏,Neutral
Anyone in 2025 😊??,Neutral
"Hii
Sradha didi ❤❤",Neutral
Anyone in December 2024,Neutral
I am in 2024 Dec,Neutral
I am in 2024 Dec,Neutral
Dii Mai bsc computer science ki student hu kya mai java kr skti hu job ke liye  😢,Neutral
I'm 10th fail I'm here,Negative
"Mam...bcom students kese IT me enter kre plz batiye mam,, sbse phle kya sikhna hoga I literally h no idea bt I really want to do something in that field,,plz help🙏",Positive
I am school guys,Neutral
Mam I am Btech first year student,Positive
I  want  to  learn  For/ Fun  school,Positive
"Girl,am 20 year's old still in high school and stills not know codings C",Positive
Any one from 2025 😂,Neutral
Anyone 2024 december,Neutral
a,Neutral
"MS office 
Ms Word 
MS Excel 
MS power point 

And Data entry 

Please",Neutral
😄😁,Neutral
😃interesting,Neutral
"I m a BCA student. (2012)
m not working any job field, now i m a housewife. But i have interest in IT sector. What can i  will do. Please anyone suggest me.",Neutral
I am 12  and i started itti thank you for it,Neutral
Anyone in 2024 December,Neutral
Excellent,Positive
Anyone in December 2024,Neutral
Anyone in December 2024,Neutral
Anyone in 2024 December,Neutral
C language?? Bcz we learn basic of it's in college 😮,Neutral
Coding sikhana hai online class Kahan se hota hai,Neutral
Coding ke liye best classes Hyderabad me hai ya banglore me didi,Positive
Any one in Dec 2024,Neutral
Anyone in 2024 December,Neutral
Yahan Coding K Liye Route Lene Aya Tha Teacher Se Hi Piyar Ker Betha 😂❤,Neutral
Mam can you provide complete course of  coding and java,Positive
i am 8th student mere ko coding se bahut pyar hai,Negative
Didi mako ek personal ai banana hai tho uske liye konsi language sikhu,Neutral
Didi coding ko karne ke liye  hamare pass kya kya hona chahiye? 😊,Neutral
Medical field ke liye konti language important hya,Positive
Didi please code solve karna sikha do,Neutral
Anyone in 2024 nov,Neutral
Anyone in 2025 january😅😅,Neutral
Kon kon 11 class me hai 😂,Neutral
Anybody from 2024-25 btech freshers😅😅😅,Neutral
mam Python ka be course karway na,Neutral
YouTube.com/@abhirajksingh,Neutral
Anyone who just started than let me know. Learn together,Neutral
Thanks 🙏🏻🙏🏻🙏🏻,Positive
I don't have laptop😢,Neutral
Anyone in november 2024,Neutral
Me 4 standard ki bachi hoon,Neutral
Yaar kitni pyari ho ❤❤❤❤❤❤❤❤❤❤❤❤,Neutral
Software development and website,Neutral
Mam agar online arnig Karni ho,Neutral
@apna college -can a housewife learn coding for having a career change??,Neutral
Phone se coding kr skte h,Neutral
Saradha jaan,Neutral
thankyou ms.,Neutral
Anyone in November 2024,Neutral
Hello,Neutral
Coding not visible clearly,Positive
"Tjanks shraddha, you really removed a lot of doubts.. Kudos to you.. Ram Ram 🙏🙏❤",Positive
I am here after getting a Government Job 😂😂,Neutral
"I have done my 12 in 2015 and. I want to learn coding and   make my career in this field .
Is it possible to make my career in this field ?",Neutral
Same 😂brohh,Neutral
Anyone in November 2024,Neutral
java is best,Positive
I am here during my uni lab😂,Neutral
Anyone in 2024 November,Neutral
😊😊😊😊😊,Neutral
Iam in 8th class,Neutral
1st Year wala kon hai 2024,Neutral
Anyone in 2024 November,Neutral
I'm a teenager😅😅,Neutral
I'm here after class 6,Neutral
Sis what is djang,Neutral
I am trying to learn coding for my side income,Neutral
Im a medical student who wants to learn coding coz im bored rn. I hope i don't quit 😅,Negative
Yes I am,Neutral
Anyone in Nov 2024😂,Neutral
Thanks Apu,Positive
Anyone in 2024 November,Neutral
Anyone in November 2024,Neutral
Mam me 8th me hu kya me Sikh skta hu,Neutral
my first language is javascript what should i do next,Positive
Anyone biology students 😅,Neutral
Kya id hack kar sakte hain,Neutral
Anyone in 2024 November,Neutral
Nice Miss,Positive
"can anyone plz tell is web programming oe web development both are same?
   actually m a beginner from bca background so i m stucked with it that in our course we have a course of intro to web programming>> so what should i learn to learn that course?? web development course or web programming🤧",Neutral
Algo Trending ke liye Konsa language shikhna sahiye,Neutral
❤❤❤❤ tnx❤❤❤❤,Neutral
Anyone 2024 November 🤔🤔,Neutral
"So java , c++, and python is very important language",Positive
0:55,Neutral
"I just completed my Bsc and i want to build a career with coding, what should I do",Neutral
You are A Very Good Speaker. Good going👍,Positive
Mam please explain about termux 👍🏻,Neutral
Anyone in 2024 November 😊,Neutral
School child yes,Neutral
I like you,Neutral
Anyone in 2024 October,Neutral
Anyone in 2070 here😂,Neutral
❤,Neutral
Pls make serious for beginners in kotlin ❤😢,Negative
Didi ma 8th class ka student hu,Neutral
Mam I am bba student or mujhe mba it se krna h ab mam usme coding hoti h to mujhe kon si language choose krni chahiye please suggest,Neutral
Mene apne channel per C Programming ki detail video Urdu/Hindi me upload ki h must watch for Beginners😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,Neutral
Anyone in October 2024,Neutral
Medical student here October 2024,Neutral
Everybody here to watch you not for studing including me ❤😂,Neutral
Thanks didi❤,Positive
में करूंगा इसे आसानी से।,Neutral
Ya 👍😊,Neutral
Baba ye laptop kaha se lau 😢,Neutral
Kon kon October 2024 mein dhekha raha hai ❤,Neutral
but mam in the our college teachers says first  C language is best for learning. how can we do? please reply.,Positive
Present,Neutral
https://youtu.be/mYXukWxF_NU JAVA PLAYLIST,Neutral
Anyone in  7th standard,Neutral
Anyone in 2024 oct,Neutral
Any one 2026🎉,Neutral
HII MAAM I WANT TO GET TO KNOW HOW SHOULD I START MY CARRIER IN CODING,Neutral
good work,Positive
Meanwhile..  8th class students....😅😅😅,Neutral
Anyone in 2024 October,Neutral
Can I commerce student switch carreers to web development/data science after learning coding?,Neutral
Thanks 😊,Positive
I have a bio exam tmrw but im here learning to code 😂,Neutral
I am in class 8 😐,Neutral
Any  humanities students ?.😊,Neutral
Apna collage is the best... platform for coading ❤❤,Positive
Best leptop for coding,Positive
Odia mem koding kese sikta hu,Neutral
Mem koding pe keau keau job karti.. sakta hu,Neutral
Me,Neutral
Dide 2nd semester exam videos dijiye,Neutral
❤,Neutral
Mai class 5,Neutral
Any one in 2024 octomber.,Neutral
Nice lecture,Positive
I m arts student can i get placement after learning coding through online sites,Neutral
"Mam Hi, Myself Biplab I like your nice word for beginners........ its wow. so, Please notified me  from the beginning of codding classes links...................... thanks",Positive
Anyone in 2024 October 🎉🎉,Neutral
Harris Matthew Rodriguez Donna Hall Richard,Neutral
Mam web developer or digital marketing dono mn sy kiska scope ziyada high hy,Positive
Nah,Neutral
Hi mam phone sa coding kasa kare 😮,Neutral
Anyone 2024 october,Neutral
2024 October attendance ❤,Neutral
Who came after watching dear sir . Udaanians like plz,Neutral
Anyone in 2024 October,Neutral
Car tuning ke liye coding hota hai?,Neutral
Hacking ke liye konasi language aani chahiye,Neutral
Thank you didi😊❤😊,Neutral
Anyone is watching on 10 September,Neutral
Anyone in October 2024❤,Neutral
❣️❣️❣️❣️,Neutral
Every one in OCT 2024,Neutral
Any one in 2024 October,Neutral
❤❤❤❤,Neutral
Important kuch bataw,Positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,Neutral
Hi,Neutral
Fantastic teaching skill. I really happy to learn from you. Thank you,Positive
8:54,Neutral
I want to learn chhedkhani with machines wali languages 😅,Neutral
Who is here  after 12th class 😅,Neutral
Who is here in October 2024😂,Neutral
wow sis u r so polite and ur teaching skills are so easy 😊,Positive
I am in October 2024 😊,Neutral
Anyone in 2025😂,Neutral
C++ 😂 gaming❤,Neutral
I am in 9th standard 😂😂😂😂,Neutral
1st Oct 2024,Neutral
Who is from school,Neutral
"Didi ma ny 9,10 biology k sath ke ha or 11,12 engineering k sath ke ha agy ma ny it rakh le ha ab mujy computer ka 1 lafz b ni pata plz is tarah k bachon k liye b bata basic comcepys dy k wo b parh saky",Neutral
Codding seekh k hacking kee ja sakti h ya hacking alag say seekhni hoti??,Neutral
Anyone in October 2024🎉❤,Neutral
I'm a student of class 9th i want to learn coding can u please help me with a doubt that is can i do coding?? I don't have a laptop can i do it with phone or i have to buy it mam i hope u see this message and respond to yhis it will be very helpful and I'm really needed to know the answer.,Positive
School student 😅,Neutral
"you thought it was user8687391766990?
but it was me , diiooo",Neutral
I am class 10 student I am nothing in pc How. I start,Neutral
Anyone watching in may 2025,Neutral
Why i am watching this in between of exams😂,Neutral
😂😂😂,Neutral
Kya main mobile se cooding seekh sakta hu mam plz replay me,Positive
Anyone In 2024 29 September,Neutral
Any one in 2024 sep,Neutral
what is the scope after ba computer application???,Neutral
Mam I am in class 11 please recommend me any course,Neutral
Spacialy thanks  ❤🥰💞 Didi you support,Positive
Any class 11th student....?,Neutral
September 2024😅,Neutral
Anyone in 2069🎉?,Neutral
Ba program vale ye language seek skte h kya,Neutral
best video for beginner,Positive
Iam bca student,Neutral
Are ma'am hacking sekhne ke liye kya Sikh sakte hain please bataiye mujhe,Neutral
Anyone in 2024 Nov,Neutral
Anyone watching in 2024 26September,Neutral
"Fun ke liye jo coding sikh raha hai bo attendance lagao
👇😂2024",Positive
Anyone in 2024 September,Neutral
Thank you mam 🙏,Neutral
𝙄 𝙖𝙢 𝙨𝙩𝙪𝙙𝙚𝙣𝙩 𝙤𝙛 𝙘𝙡𝙖𝙨𝙨 8,Neutral
Mam new enter in this way so what is the start a learn for language,Positive
Very excellent mam❤,Positive
Is coding is very difficult,Negative
क्या हम बिना कॉलेज गए भी सॉफ्टवेयर इंजीनियर बन सकते हैं 😊😊😊😊😊,Neutral
Anyone in September 2024,Neutral
danyavad didi mereko coding seekna bahut intrest hai ab mey tayar hu.....,Neutral
Pehle english sekho,Neutral
Mem i have a doubt mai bsc student hu or agr mai coding shikh skte h,Neutral
Anyone 2024,Neutral
Anyone in 2024 september??,Neutral
Anyone in 2024 September,Neutral
Thank you mam for this vdoo🎉 this is very helpfull for our examination 😊,Positive
Anyone in 2024 September,Neutral
Anyone in 2024 September,Neutral
Thanku di,Neutral
Anyone in 2024 september 😅😅,Neutral
Forget about BCA and stuff. I'm Msc molecular biology graduate and got placed in Accenture. I want to learn coding now 😢😢😢😢,Neutral
कौन कौन 2024 मै व्हिडिओ देख रहा हैं,Neutral
Anyone in 2024 September,Neutral
Anyone in 2025,Neutral
kya hum JAVA & PHYTHON ki programing develloper c par kar sakte hai?,Neutral
4:53,Neutral
Yes❤,Neutral
Anyone in 2025😮😅,Neutral
"Today m writing this 
To let everyone know 
Not much 
But yes ill learn it i wont give up but ya ill do it and one day make some good websites and hope itll help me in future 
I dont have a laptop nor a computer but ill do it in phone 🔥🐁",Negative
You are soo good,Positive
I am 15yr old i wanna learn coding because I wanna help my father,Positive
Anyone in 2024 September,Neutral
Best video,Positive
Anyone in 2050 .,Neutral
2025 m kon dekh raha 😅😅,Neutral
Any one in september 2024 present here,Neutral
"I am engineer Ankul kumar,i am interested software developer",Positive
Anyone In 2024 September..?,Neutral
Mai ni ye course karna hai,Neutral
Anyone in September 2024,Neutral
Sorry but Aapki aavaj se irritation hoti hai,Negative
👍,Neutral
Any one in 2026❤😂,Neutral
Shraddha didi kya a sachh hai ap ne 43 lakh jobs Rejected for Microsoft company,Neutral
Thankyou ma’am,Neutral
C++ class link,Neutral
Now I am student of class 8😅😅,Neutral
Mam start kese Karu samz nahi aaraha he 🤔,Neutral
Anyone in 2025 january?,Neutral
Anyone eid_ul_milad 16 september 2024😊😊😊😊,Neutral
"Class 9th Students 🤣
Like",Neutral
Very useful information ma’am ❤❤❤,Positive
Kon kon dear sir ke video dekhne ke baad aaya hai 😅,Neutral
"Wah Didi wah

Aapne to khud ka hi apna CLG khol liya 
Mai sarkar se prathna karunga ki APNA CLG ko manyta jaldi mile😂",Neutral
Can someone tell which is best LANGUAGE for coding in CYBER SECURITY?,Positive
Third summative ke phelr aya hoon,Neutral
Hii di muzhe coding sikhani hai but muzhe after 12 th konsa filed or course choose karna padega to learn coding,Neutral
Anyone Watching In September 2024? ❤❤,Neutral
Hi mam,Neutral
September 13 2024?,Neutral
Anyone in 2024 September?,Neutral
Anyone September 2024 😊❤,Neutral
Mam ap Bina earing ke achhe lag rahe ho❤❤❤❤,Neutral
Itna achha kr leti hai aap coding to Sikha kyu Rahi Mujhe lgta hai Apka Teaching hobby hai ?,Neutral
I am 6th class 😢😢,Neutral
"12th (science) with BA art, padhe log coding nahi shikh sakate kya plz, make one video non higher education and non job",Positive
2024🙌🙌,Neutral
Yaar yeh kitni awesome ha 😅,Positive
Anyone in September😂,Neutral
Anyone in 2046,Neutral
First year wle aa gye?😅,Positive
But I am 9 years old,Positive
Kisko kisko coding accha lagta hai Oo like kare,Neutral
I am from class 5 th and my question is how to update variable,Neutral
I am a med student but I also want to learn coding as a part time job  can you tell me like is it necessary to link with a company to start earning?,Neutral
0:30,Neutral
Kaun kaun class 11th me h 😂,Neutral
Didi koy wabside btao,Neutral
I asked you Cs or It is best for programing  and cording,Positive
Kaha se sikhe,Neutral
Anyone in September 2024👀,Neutral
Pakistani but following you😅. good,Positive
I am here after completing my 1st class 😂,Neutral
👍👍,Neutral
Appi i am the student of ICS i want to learn the programing languages 😊😊,Neutral
Your actions similar to dhruv rathee 😂,Neutral
I am class 12 bord,Neutral
Any one  in September 2024❤️🤝,Neutral
Anyone in 2024 sep?,Neutral
प्रेरणा द्वार आपके प्रदर्शन को जारी रखता है,Neutral
koi sept me dekhra hai kya 2024,Neutral
Phone se coding sikh sakte hai ?,Neutral
can a bcom student do coding,Neutral
Bas aesa hi ek basic idea wali video chaiye thi,Neutral
Meri beti 5th class mein hai aur mai usko abhi se coding sikhana chatah hun.muje kya krna chahiye plz give suggestions,Neutral
Any one in 2025❤,Neutral
Anyone in 2024 September,Neutral
12 year old baache ke liye kisse start karna chahiye,Positive
Anyone in 2024 September,Neutral
Uske questions kaise hote hai,Neutral
I'm DCA student,Neutral
Shukriya mam,Neutral
Who is in 7th,Neutral
best ever things has been categoriesed,Positive
Student 4 class,Neutral
https://youtu.be/NMijY96DzH4?si=Ud3Mmw-q9TP7FGp5,Neutral
September 2024 😅😅,Neutral
Maam c++ krlo Or java na kro  python krlo to? Keuki meri branch AIMl hai,Neutral
Thank you ❤so much didi ji,Positive
Didi hacking ke liye koan si language sikhni hogi,Neutral
In August ..☺️ Keep learning keep growing,Neutral
And I learn after I got placement and where ?,Neutral
Hey mam I am class 11 th and I learn coding,Neutral
@apnacollege,Neutral
Di arts students coding kr skte hai ... Plz reply,Neutral
"श्रद्धा जी में एक आईटीआई इलेक्ट्रिकल फील्ड से हूं लेकिन मुझे भी cooding करनी है जॉब के लिए तो क्या मुझे करना चाहिए?
Shraddha ji, I have an ITI from electrical field but I also want to do coding for a job, so should I do it?",Neutral
September 2024 wale present laga do,Neutral
Class 8th gang -------------------->,Neutral
Aug 2024 here,Neutral
Legends watching in August 2024,Neutral
Anyone in August,Neutral
9th GANG 😎 --👍,Neutral
𝕎𝕙𝕠 𝕚𝕤 𝕙𝕖𝕣𝕖 𝕠𝕗 𝟙𝟘𝕥𝕙?,Neutral
Sar k upar se guzar gaya🙄,Neutral
Anyone in 2024 September,Neutral
September gang 👇,Neutral
mam mujha c language zayada easy lagti hai ma es sa start kar sakti hoo...ya java best hai...??,Positive
2:10 .... I am here after watching the webseries Lighter and Princess😭 I was always fascinated learning coding but the series made me take an actual step😂,Neutral
I'm 11 years old 😅,Positive
I am in 6 th class  I learn 50℅ coding,Neutral
Anyone August 1995,Neutral
I am here start of 9th class,Neutral
Anyone 27 august 2024,Neutral
Anyone in august 2024,Neutral
"Main Pakistan se hun 
University mein padhta hun Sir Syed . Karachi se",Positive
"Main Pakistan se hun 
University mein padhta hun Sir Syed . Karachi se",Positive
"Method Overloading | Overriding | call by value | call by reference
https://youtu.be/oILlG5kA25Y",Neutral
Anyone 2024 August,Neutral
Anyone in 2024 August like here 😊,Neutral
Anyone in(26 August6 : 00 pm)😜,Neutral
Mam please provede power builder class,Neutral
i want to learn coding,Neutral
"You don't teach about Python?
I need some way forward in python, actually I'm not from any coding background but I want to start my career into coding and after some research I got to know that Python is easiest and easy to learn language in beginning.
So please make a video about python, data science and java relatability.
Thanks",Positive
Any one August 25 /2024,Neutral
I am from class 9th,Neutral
🎉😂,Neutral
"I am in 10 class 
Anyone more in 10",Positive
Today is 24 August 🎉,Neutral
Any one in 2024-25 first year,Positive
2024 me kaun kaun dekh raha hai 😂😂😂 Like Kara,Neutral
Any 1in Agust 2024,Neutral
.,Neutral
didi apki chothi bhen hai kia aur agar hai to uski age kia hai kyunkai younger the soul tighter the hole,Neutral
Collage 1st year,Neutral
Anyone in August Afert 23😄👇,Neutral
I am in class 12th board😂😂😂😂,Neutral
😅,Neutral
I AM IN 4TH CLASS 😅😅,Neutral
Eee student can learn coding,Neutral
Anyone new admission 2024 in b tech,Positive
What about non BTECH BACKGROUND,Neutral
"Class 12th students 
👇",Neutral
Is anyone here who is seen in August 2024,Neutral
Anyone in August 2024,Neutral
Anyone in September 2024😂😂,Neutral
1:16 1:16 1:17 1:17 1:17 1:17 1:17 1:18 1:18 1:18 1:19 1:19 1:19 1:20 1:20 1:20 1:20 1:21 1:21 1:21 1:21 1:21,Neutral
1:06,Neutral
Iam 16 year student hai koi aur mere jaisa,Negative
Any one from 22nd century,Neutral
2025😂😂😂,Neutral
"I'm an unsmart student, I want to learn coding, but I always live in depression that's why I can't find option to learn I even have no laptop😢",Positive
I am studying in class 5,Neutral
Who who wants to be a software engineer,Positive
Anyone in 2024 August,Neutral
Class 11th student coding kar sathe hai abhi,Neutral
Mam pls no. Share kriye,Neutral
I am the lat one😅,Neutral
Hacking ke liye sikhna hai mam...?,Neutral
MY favorite didi ❤,Positive
34 age,Neutral
I am 6th class boy😅,Neutral
Anyone in 16th august,Neutral
Anyone BBA student is here,Neutral
15 August 2024 7:28 pm 😪,Neutral
Dear ma'am me apse coding sikhna chahta hu as a student please ma'am help me,Neutral
🤔🤔🤔👌👌👌👌,Neutral
Anyone in 2024 august,Neutral
Mai 9th me hu 😂,Neutral
"I am in 7th but i want to learn coding 
Class 7th
  👇🏻",Neutral
"Can i learn and practice java, c++ or python on Android mobile?",Neutral
gale mai konse kide ne kata um🤣,Neutral
Anyone watching after 11 August 2024 ?❤,Neutral
👌,Neutral
Coding karne ke liye math subject aache hona chahiye,Negative
Anyone in 2025😮,Neutral
Anyone in 2024 August present here🤙,Neutral
thnx for 0 subscribers,Neutral
Di Arte stream student coding sikh  skte hai,Neutral
Still August 2024,Neutral
Kon kon 10 me h,Neutral
anyone in 2024 august,Neutral
Anyone august 2024?,Neutral
Bhai garib sirf bas insaan ki soch hota hai bas aur koi nahi,Neutral
2024 me dekhne wale koi hy kya,Neutral
Any one in august,Neutral
C#kaha SE sikha,Neutral
Anyone in 2024 August,Neutral
August 2024 anyone? 😉,Neutral
"If I want to join google, Microsoft company, is it necessary to have a cse .",Neutral
Anyone in 2024 August,Neutral
I m a 13 yo old female- 💀👽😂,Positive
Who is in class 6 😅,Neutral
Anyone in 2024 August,Neutral
Anyone in 2024 August,Neutral
Anyone in August 2024,Neutral
Who is watching this video after 10th?,Neutral
Who is here in August 2024,Neutral
I want to learn coding for fun.,Positive
Me 🐐 charata hu muje lga sikhna chhahiye yo sikh rha hu,Neutral
Who is here in August 2024,Neutral
I am in August 😅😅,Neutral
Any one August 😮😮😮,Neutral
I am in 9th right now,Positive
Who is here in August 2024,Neutral
"Hello 
I'm commerce graduate and homemaker can you teach me coding?",Neutral
"i am learning for fun
",Positive
https://youtu.be/PXbSQ45NASg,Neutral
Anyone  2024 👇 thanks for 500+ likes 🥰,Positive
2k24 august,Neutral
Who is here in August 😅,Neutral
"I am from a school 9th 
My friend learnt it I want to learn",Neutral
Who is here in August😂,Neutral
I am in class 5,Neutral
in august 2024,Neutral
Me new subscriber,Positive
Anyone in 2024 august,Neutral
In July 2024,Neutral
Anyone in 2024 agust,Neutral
Anyone from 2025,Neutral
Anyone in 2024 august,Neutral
Aug 2024,Neutral
Anyone in July 2024,Neutral
anyone in august 2024 please reply♥,Neutral
Anyone August 2024❤,Neutral
informative,Neutral
Anyone in august 2024 ❤,Neutral
❤❤❤❤❤❤❤❤,Neutral
August here >>>>>>>>>>>>>>>,Neutral
Anyone in 2024 july/Aug✅,Neutral
SO LEARNABLE,Neutral
31 July 2024🎉🎉 watching from Afghanistan,Neutral
2024 me BCA ke liye kon kon ja rha hai ...??,Neutral
Kisa v country vich Europe english coding course online kar sakta,Neutral
Basic,Neutral
Biology background 😢😢,Neutral
Anyone in 2024 july,Neutral
This is my first video for learning coding and hacking on 30 july 2024 at 12 :34 midnight 😅🎉🎉 I will back soon became a big hacker 😊😊😊 ❤,Positive
WATCHING IN 2024 ATTENDENCE HERE.........,Neutral
July 2024,Neutral
Anyone in 20-30 July present here ✨💓,Neutral
Kitna pessa h is filed m koi btayega,Neutral
Anyone in 2024 July🤔,Neutral
Mam mai abhi first year me hu mujhe coding ka knowledge chahiye,Positive
Hello mam,Neutral
Hlo mam mujhe data science me jana h toh mujhe python sekhna h  toh ap  mujhe please bata sakti hai ki best online class kon . Si  rahegi,Positive
Good motivation.Thanks from a Senior citizen.,Positive
Who here  after 9th,Neutral
I'm 26 here 26 July,Neutral
Who is watching this video in 11th class?,Neutral
Anyone watching video on 25 july 2024 at time of 10:05,Neutral
Good,Positive
I am here,Neutral
Mam can mba student can do this coding,Neutral
You fan of Ronaldo yes,Neutral
Kon kon 10th bala hai,Neutral
I'm in 10 th in 2024 July,Neutral
Anyone in 2024❤,Neutral
Hallo mam give me reply coding se future me kya hoga muze coding shikhna hai,Neutral
Any one from 2025 😂😂😂,Neutral
Anyone in 2024 july,Neutral
I'm in class 9th😅,Neutral
Anyone here today😊,Neutral
Thx mam ji coding ke bare mein full information ke bare mein batane ke liya 😊😊👏,Positive
Can I start coding in a tab,Neutral
Thanks ❤,Positive
Hello,Neutral
Hello,Neutral
